"playerId","player","team","bye","exp","age","position","dataScrapeId","dstBlk","dstFumlRec","dstInt","dstPtsAllow","dstRetTd","dstSack","dstSafety","dstTd","fg","fg0019","fg2029","fg3039","fg4049","fg50","fgAtt","fgMiss","fumbles","games","idpAst","idpFumlForce","idpFumlRec","idpInt","idpPD","idpSack","idpSolo","idpTFL","idpTd","pass300","pass350","pass40","pass400","passAtt","passComp","passCompPct","passInc","passInt","passTds","passYds","rec","rec100","rec150","rec200","rec40","recTds","recYds","returnTds","returnYds","rush100","rush150","rush200","rush40","rushAtt","rushTds","rushYds","sacks","twoPts","xp"
2346,"Pierre Garcon","SF",11,9,31,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244222020018198,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6104406130268,1.9,0.6,0.0866225165562914,NA,4.90471659081506,993.220686801821,NA,53.2,NA,NA,NA,NA,0,0,0,NA,NA,NA
2354,"Wesley Woodyard","TEN",8,9,31,"LB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15.8820072332731,0.704339963833635,0,0.549638336347197,3.4503616636528,4.975678119349,45.3313743218806,1,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2649,"Danny Amendola","NE",9,9,32,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3177347242921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2838288614938,0.8,0.3,0.1,NA,3.13430913348946,408.549238875878,NA,203.4,NA,NA,NA,NA,0.975847457627119,0.0317874396135266,6.06554252199413,NA,NA,NA
4327,"Danny Woodhead","BAL",10,9,32,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94049135577798,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5300766283525,NA,NA,NA,NA,2.61208316851143,503.994290442698,NA,0,0.6,0.2,0.1,NA,99.5271721084671,2.12283615296147,410.951965246173,NA,NA,NA
4365,"Brandon Carr","BAL",10,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9.35632911392405,0,0.342676311030741,0.852169981916817,6.71491862567812,0.118264014466546,47.793670886076,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4383,"Tim Hightower","FA",NA,9,31,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,1.2,179.871951219512,NA,50.9,1.1,0.4,0.1,NA,144.1,4.39573170731707,479.797713414634,NA,NA,NA
4433,"Marcel Reece","SEA",6,9,32,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2897473997028,NA,NA,NA,NA,0.562258543833581,141.586924219911,NA,NA,NA,NA,NA,NA,5.11144130757801,0.0511144130757801,10.222882615156,NA,NA,NA
4483,"William Hayes","MIA",11,9,32,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12.3497287522604,0.704339963833635,0,0,0,4.22097649186257,27.1867088607595,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4487,"Matthew Slater","NE",9,9,32,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
71193,"Robert Ayers","TB",11,8,32,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9.50940325497288,1.11826401446655,0.0886980108499096,0,1.30623869801085,8.10687160940325,25.6437613019891,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
